Exporter Country ID,Exporter Country,Year,Trade Value,HS6,Cube
eucze,Czechia,2018,15794276.000000002,16850610,trade_i_baci_a_96
eucze,Czechia,2019,14717706.0,16850610,trade_i_baci_a_96
eucze,Czechia,2020,12712957.0,16850610,trade_i_baci_a_96
eucze,Czechia,2021,13593794.0,16850610,trade_i_baci_a_96
eucze,Czechia,2022,16707604.0,16850610,trade_i_baci_a_96
eucze,Czechia,2023,15391469.0,16850610,trade_i_baci_a_96
eucze,Czechia,2018,53725.99999999999,16850630,trade_i_baci_a_96
eucze,Czechia,2019,53.0,16850630,trade_i_baci_a_96
eucze,Czechia,2020,2843.0000000000005,16850630,trade_i_baci_a_96
eucze,Czechia,2021,99.0,16850630,trade_i_baci_a_96
eucze,Czechia,2022,106.0,16850630,trade_i_baci_a_96
eucze,Czechia,2023,999.0,16850630,trade_i_baci_a_96
eucze,Czechia,2018,8035172.0,16850640,trade_i_baci_a_96
eucze,Czechia,2019,10129433.0,16850640,trade_i_baci_a_96
eucze,Czechia,2020,6552384.0,16850640,trade_i_baci_a_96
eucze,Czechia,2021,2498049.0,16850640,trade_i_baci_a_96
eucze,Czechia,2022,2154532.0,16850640,trade_i_baci_a_96
eucze,Czechia,2023,984616.0,16850640,trade_i_baci_a_96
eucze,Czechia,2018,26694407.0,16850650,trade_i_baci_a_96
eucze,Czechia,2019,20236463.0,16850650,trade_i_baci_a_96
eucze,Czechia,2020,20420524.0,16850650,trade_i_baci_a_96
eucze,Czechia,2021,29080350.0,16850650,trade_i_baci_a_96
eucze,Czechia,2022,39636426.0,16850650,trade_i_baci_a_96
eucze,Czechia,2023,31233070.0,16850650,trade_i_baci_a_96
eucze,Czechia,2018,270916.0,16850660,trade_i_baci_a_96
eucze,Czechia,2019,270985.0,16850660,trade_i_baci_a_96
eucze,Czechia,2020,231863.0,16850660,trade_i_baci_a_96
eucze,Czechia,2021,252574.0,16850660,trade_i_baci_a_96
eucze,Czechia,2022,285636.0,16850660,trade_i_baci_a_96
eucze,Czechia,2023,261435.0,16850660,trade_i_baci_a_96
eucze,Czechia,2018,1947026.0,16850680,trade_i_baci_a_96
eucze,Czechia,2019,2663661.0,16850680,trade_i_baci_a_96
eucze,Czechia,2020,2668913.0,16850680,trade_i_baci_a_96
eucze,Czechia,2021,2423449.0,16850680,trade_i_baci_a_96
eucze,Czechia,2022,3076985.0,16850680,trade_i_baci_a_96
eucze,Czechia,2023,4067042.0,16850680,trade_i_baci_a_96
eucze,Czechia,2018,10358400.0,16850690,trade_i_baci_a_96
eucze,Czechia,2019,9588868.0,16850690,trade_i_baci_a_96
eucze,Czechia,2020,19257774.0,16850690,trade_i_baci_a_96
eucze,Czechia,2021,10435328.0,16850690,trade_i_baci_a_96
eucze,Czechia,2022,8843051.0,16850690,trade_i_baci_a_96
eucze,Czechia,2023,9804653.0,16850690,trade_i_baci_a_96
eucze,Czechia,2018,563918106.0,16850710,trade_i_baci_a_96
eucze,Czechia,2019,546929166.0,16850710,trade_i_baci_a_96
eucze,Czechia,2020,603877719.0,16850710,trade_i_baci_a_96
eucze,Czechia,2021,708596927.0,16850710,trade_i_baci_a_96
eucze,Czechia,2022,621203067.0,16850710,trade_i_baci_a_96
eucze,Czechia,2023,713639956.0,16850710,trade_i_baci_a_96
eucze,Czechia,2018,14267744.0,16850720,trade_i_baci_a_96
eucze,Czechia,2019,14659971.0,16850720,trade_i_baci_a_96
eucze,Czechia,2020,12997994.0,16850720,trade_i_baci_a_96
eucze,Czechia,2021,16340919.0,16850720,trade_i_baci_a_96
eucze,Czechia,2022,22849996.0,16850720,trade_i_baci_a_96
eucze,Czechia,2023,27671361.0,16850720,trade_i_baci_a_96
eucze,Czechia,2018,14322201.0,16850730,trade_i_baci_a_96
eucze,Czechia,2019,15908617.0,16850730,trade_i_baci_a_96
eucze,Czechia,2020,16489824.0,16850730,trade_i_baci_a_96
eucze,Czechia,2021,12978428.0,16850730,trade_i_baci_a_96
eucze,Czechia,2022,18004445.0,16850730,trade_i_baci_a_96
eucze,Czechia,2023,14865426.0,16850730,trade_i_baci_a_96
eucze,Czechia,2018,38092.0,16850740,trade_i_baci_a_96
eucze,Czechia,2019,4783575.0,16850740,trade_i_baci_a_96
eucze,Czechia,2020,7232592.0,16850740,trade_i_baci_a_96
eucze,Czechia,2021,5969911.0,16850740,trade_i_baci_a_96
eucze,Czechia,2022,3685.0,16850740,trade_i_baci_a_96
eucze,Czechia,2018,2901183.0,16850750,trade_i_baci_a_12
eucze,Czechia,2019,4527708.0,16850750,trade_i_baci_a_12
eucze,Czechia,2020,5025766.0,16850750,trade_i_baci_a_12
eucze,Czechia,2021,4752580.0,16850750,trade_i_baci_a_12
eucze,Czechia,2022,2799313.0,16850750,trade_i_baci_a_12
eucze,Czechia,2023,4143730.0,16850750,trade_i_baci_a_12
eucze,Czechia,2018,50961015.0,16850760,trade_i_baci_a_12
eucze,Czechia,2019,72542476.0,16850760,trade_i_baci_a_12
eucze,Czechia,2020,284514045.0,16850760,trade_i_baci_a_12
eucze,Czechia,2021,768281620.0,16850760,trade_i_baci_a_12
eucze,Czechia,2022,1430713218.0,16850760,trade_i_baci_a_12
eucze,Czechia,2023,2580422439.0,16850760,trade_i_baci_a_12
eucze,Czechia,2018,59988394.0,16850780,trade_i_baci_a_96
eucze,Czechia,2019,138657492.0,16850780,trade_i_baci_a_96
eucze,Czechia,2020,311290136.0,16850780,trade_i_baci_a_96
eucze,Czechia,2021,779561629.0,16850780,trade_i_baci_a_96
eucze,Czechia,2022,1389221504.0,16850780,trade_i_baci_a_96
eucze,Czechia,2023,2471169034.0,16850780,trade_i_baci_a_96
eucze,Czechia,2018,136740992.0,16850790,trade_i_baci_a_96
eucze,Czechia,2019,173221885.0,16850790,trade_i_baci_a_96
eucze,Czechia,2020,168261296.0,16850790,trade_i_baci_a_96
eucze,Czechia,2021,263966477.0,16850790,trade_i_baci_a_96
eucze,Czechia,2022,213598519.0,16850790,trade_i_baci_a_96
eucze,Czechia,2023,332353754.0,16850790,trade_i_baci_a_96
